"province_id.id","district_id.id","municipality_code","municipality_name"
2,15,"05","Harion Municipality"
2,15,"06","Haripur Municipality"
2,15,"07","Haripurwa Municipality"
2,15,"08","Ishworpur Municipality"
2,15,"09","Kabilasi Municipality"
2,15,"10","Lalbandi Municipality"
2,15,"11","Malangwa Municipality"
2,15,"12","Basbariya Rural Municipality"
2,15,"13","Bishnu Rural Municipality"
2,15,"14","Brahampuri Rural Municipality"
2,15,"15","Chakraghatta Rural Municipality"
2,15,"16","Chandranagar Rural Municipality"
2,15,"17","Dhankaul Rural Municipality"
2,15,"18","Kaudena Rural Municipality"
2,15,"19","Parsa Rural Municipality"
2,15,"20","Ramnagar Rural Municipality"
2,16,"01","Janakpur Sub Metropolitan City"
2,16,"02","Chhireshwarnath Municipality"
2,16,"03","Ganeshman Charanath"
2,16,"04","Dhanusadham Municipality"
2,16,"05","Nagarain Municipality"
2,16,"06","Bideha Municipality"
2,16,"07","Mithila Municipality"
2,16,"08","Sahidnagar Municipality"
2,16,"09","Sabaila Municipality"
2,16,"10","Kamala Municipality"
2,16,"11","Mithila Bihari Municipality"
2,16,"12","Hansapur Municipality"
2,16,"13","Janaknandani Rural Municipality"
2,16,"14","Bateshwar Rural Municipality"
2,16,"15","Mukhiyapatti Musharniya Rural Municipality"
2,16,"16","Lakshminya Rural Municipality"
2,16,"17","Aurahi Rural Municipality"
2,16,"18","Dhanauji Rural Municipality"
2,17,"01","Kalaiya Sub– Metropolitan City"
2,17,"02","Jeetpur Simara Sub– Metropolitan City"
2,17,"03","Kolhabi Municipality"
2,17,"04","Nijgadh Municipality"
2,17,"05","Mahagadhimai Municipality"
2,17,"06","Simraungadh Municipality"
2,17,"07","Pacharauta Municipality"
2,17,"08","Pheta Rural Municipality"
2,17,"09","Bishrampur Rural Municipality"
2,17,"10","Prasauni Rural Municipality"
2,17,"11","Adarsh Kotwal Rural Municipality"
2,17,"12","Karaiyamai Rural Municipality"
2,17,"13","Devtal Rural Municipality"
2,17,"14","Parwanipur Rural Municipality"
2,17,"15","Baragadhi Rural Municipality"
2,17,"16","Suwarna Rural Municipality"
2,18,"01","Baudhimai Municipality"
2,18,"02","Brindaban Municipality"
2,18,"03","Chandrapur Municipality"
2,18,"04","Dewahi Gonahi Municipality"
2,18,"05","Gadhimai Municipality, Nepal"
2,18,"06","Garuda Municipality"
2,18,"07","Gaur Municipality"
2,18,"08","Gujara Municipality"
2,18,"09","Ishanath Municipality"
2,18,"10","Katahariya Municipality"
2,18,"11","Madhav Narayan Municipality"
2,18,"12","Maulapur Municipality"
2,18,"13","Paroha Municipality"
2,18,"14","Phatuwa Bijayapur Municipality"
2,18,"15","Rajdevi Municipality"
2,18,"16","Rajpur Municipality"
2,18,"17","Durga Bhagwati Rural Municipality"
2,18,"18","Yamunamai Rural Municipality"
2,19,"01","Bodebarsain Municipality"
2,19,"02","Dakneshwori Municipality"
2,19,"03","Hanumannagar Kankalini Municipality"
2,19,"04","Kanchanrup Municipality"
2,19,"05","Khadak Municipality"
2,19,"06","Sambhunath Municipality"
